GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0090279,regulation of calcium ion import,3,2,0.31,0.02918,0.0391
GO:1902103,negative regulation of metaphase/anaphas...,3,2,0.31,0.02918,0.0391
GO:1903169,regulation of calcium ion transmembrane ...,3,2,0.31,0.02918,0.0391
GO:1904358,positive regulation of telomere maintena...,3,2,0.31,0.02918,0.0391
GO:1904377,positive regulation of protein localizat...,3,2,0.31,0.02918,0.0391
GO:1905133,negative regulation of meiotic chromosom...,3,2,0.31,0.02918,0.0391
GO:1905664,regulation of calcium ion import across ...,3,2,0.31,0.02918,0.0391
GO:0051094,positive regulation of developmental pro...,24,6,2.45,0.03006,0.03953
GO:0051252,regulation of RNA metabolic process,565,71,57.78,0.03026,0.03953
GO:0006952,defense response,18,5,1.84,0.0304,0.03953
GO:0072697,protein localization to cell cortex,18,5,1.84,0.0304,0.03953
GO:0006289,nucleotide-excision repair,58,11,5.93,0.03047,0.03953
GO:0016310,phosphorylation,327,44,33.44,0.03077,0.03967
GO:0043547,positive regulation of GTPase activity,44,9,4.5,0.03098,0.03969
GO:0051254,positive regulation of RNA metabolic pro...,293,40,29.96,0.0314,0.03998
GO:2001141,regulation of RNA biosynthetic process,504,64,51.54,0.03221,0.04051
GO:0031669,cellular response to nutrient levels,184,27,18.82,0.03221,0.04051
GO:0033043,regulation of organelle organization,337,45,34.46,0.03272,0.0409
GO:1902680,positive regulation of RNA biosynthetic ...,243,34,24.85,0.03318,0.04122
GO:0019932,second-messenger-mediated signaling,31,7,3.17,0.03342,0.04127
GO:0048585,negative regulation of response to stimu...,89,15,9.1,0.03441,0.04224
GO:0045935,positive regulation of nucleobase-contai...,321,43,32.83,0.03477,0.04243
GO:0051173,positive regulation of nitrogen compound...,462,59,47.25,0.03548,0.04304
GO:0045931,positive regulation of mitotic cell cycl...,105,17,10.74,0.03593,0.04312
GO:0007166,cell surface receptor signaling pathway,13,4,1.33,0.03646,0.04312
GO:0010971,positive regulation of G2/M transition o...,13,4,1.33,0.03646,0.04312
GO:1902751,positive regulation of cell cycle G2/M p...,13,4,1.33,0.03646,0.04312
GO:0090068,positive regulation of cell cycle proces...,129,20,13.19,0.0366,0.04312
GO:0006355,regulation of DNA-templated transcriptio...,499,63,51.03,0.03728,0.04367
GO:0031106,septin ring organization,19,5,1.94,0.0379,0.04414
GO:0007584,response to nutrient,60,11,6.14,0.03814,0.04417
GO:0006605,protein targeting,187,27,19.12,0.03859,0.04444
GO:0006914,autophagy,130,20,13.29,0.03931,0.0448
GO:0000755,cytogamy,8,3,0.82,0.04021,0.0448
GO:0006020,inositol metabolic process,8,3,0.82,0.04021,0.0448
GO:0010672,regulation of transcription from RNA pol...,8,3,0.82,0.04021,0.0448
GO:0018212,peptidyl-tyrosine modification,8,3,0.82,0.04021,0.0448
GO:0046834,lipid phosphorylation,8,3,0.82,0.04021,0.0448
GO:0031668,cellular response to extracellular stimu...,188,27,19.23,0.04091,0.04502
GO:0071496,cellular response to external stimulus,188,27,19.23,0.04091,0.04502
GO:0051783,regulation of nuclear division,155,23,15.85,0.04107,0.04502
GO:0050793,regulation of developmental process,107,17,10.94,0.0421,0.04591
GO:0006626,protein targeting to mitochondrion,54,10,5.52,0.04411,0.04759
GO:0043086,negative regulation of catalytic activit...,54,10,5.52,0.04411,0.04759
GO:0007049,cell cycle,640,78,65.45,0.04479,0.048
GO:1901990,regulation of mitotic cell cycle phase t...,173,25,17.69,0.04504,0.048
GO:0007163,establishment or maintenance of cell pol...,132,20,13.5,0.04519,0.048
GO:0000209,protein polyubiquitination,33,7,3.37,0.04551,0.04808
GO:0045990,carbon catabolite regulation of transcri...,40,8,4.09,0.04599,0.04808
GO:0031325,positive regulation of cellular metaboli...,505,63,51.64,0.04621,0.04808
GO:0006995,cellular response to nitrogen starvation,20,5,2.05,0.04644,0.04808
GO:0043562,cellular response to nitrogen levels,20,5,2.05,0.04644,0.04808
GO:0015919,peroxisomal membrane transport,14,4,1.43,0.04705,0.04808
GO:0019184,nonribosomal peptide biosynthetic proces...,14,4,1.43,0.04705,0.04808
GO:1901987,regulation of cell cycle phase transitio...,199,28,20.35,0.04742,0.04808
GO:0051234,establishment of localization,1069,124,109.32,0.04754,0.04808
GO:0031399,regulation of protein modification proce...,174,25,17.79,0.04778,0.04808
GO:0009893,positive regulation of metabolic process,506,63,51.75,0.04785,0.04808
GO:0022402,cell cycle process,597,73,61.05,0.0486,0.0486
